"id","qid","dataset","plottype","response","cresponse","correct","responsen","cresponsen","qsubid"
"R_3qItOVB1m3rRIHO",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_3qItOVB1m3rRIHO",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_a5XRod8QdXHdgiM",2,"A","circos","1_3_4_2","4_1_2_3",FALSE,1,4,1
"R_a5XRod8QdXHdgiM",2,"A","circos","1_3_4_2","4_1_2_3",FALSE,3,1,2
"R_a5XRod8QdXHdgiM",2,"A","circos","1_3_4_2","4_1_2_3",FALSE,4,2,3
"R_a5XRod8QdXHdgiM",2,"A","circos","1_3_4_2","4_1_2_3",FALSE,2,3,4
"R_bP1eWMUqcLIi1rm",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bP1eWMUqcLIi1rm",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bP1eWMUqcLIi1rm",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bP1eWMUqcLIi1rm",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_3ZQvAmasceYQPQM",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_3ZQvAmasceYQPQM",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_3ZQvAmasceYQPQM",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_3ZQvAmasceYQPQM",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_bvGXdKWl3ICupP6",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_bvGXdKWl3ICupP6",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_bvGXdKWl3ICupP6",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_bvGXdKWl3ICupP6",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_6Sw1XuYKHVRsEWU",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_6Sw1XuYKHVRsEWU",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_6Sw1XuYKHVRsEWU",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_6Sw1XuYKHVRsEWU",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_4I64gDQSHH8ojze",2,"A","bar","1_2_4_3","4_1_2_3",FALSE,1,4,1
"R_4I64gDQSHH8ojze",2,"A","bar","1_2_4_3","4_1_2_3",FALSE,2,1,2
"R_4I64gDQSHH8ojze",2,"A","bar","1_2_4_3","4_1_2_3",FALSE,4,2,3
"R_4I64gDQSHH8ojze",2,"A","bar","1_2_4_3","4_1_2_3",FALSE,3,3,4
"R_6Gnw4mQ6x4AVWII",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_6Gnw4mQ6x4AVWII",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_6Gnw4mQ6x4AVWII",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_6Gnw4mQ6x4AVWII",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_3Kmgffq9P84Hqi8",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_3Kmgffq9P84Hqi8",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_3Kmgffq9P84Hqi8",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_3Kmgffq9P84Hqi8",2,"A","bar","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_8HaXTyDqjDiLelu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,4,4,1
"R_8HaXTyDqjDiLelu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,1,1,2
"R_8HaXTyDqjDiLelu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,2,2,3
"R_8HaXTyDqjDiLelu",2,"A","hammock","4_1_2_3","4_1_2_3",TRUE,3,3,4
"R_ekPM1Syz0w3SC9K",2,"A","circos","4_1_2_3","4_1_2_3",TRUE,4,4,1
